DGRP	sex	abs_volume	h_ratio
DGRP_228	F	0.01063415	0.009527276
DGRP_332	F	0.01522101	0.012051698
DGRP_228	M	0.01096186	0.012418286
DGRP_390	F	0.01553118	0.012577648
DGRP_332	M	0.01291632	0.013224504
DGRP_320	F	0.01594376	0.013539425
DGRP_737	F	0.015415439	0.014040617
DGRP_900	F	0.017301728	0.014237154
DGRP_395	F	0.016329137	0.014337374
DGRP_732	F	0.015346196	0.014381983
DGRP_584	F	0.01694621	0.014564489
DGRP_059	M	0.015402682	0.014585977
DGRP_100	M	0.01415481	0.014978704
DGRP_335	F	0.01592112	0.015141066
DGRP_385	F	0.01640068	0.015225244
DGRP_409	F	0.018145609	0.01539887
DGRP_486	M	0.015654284	0.015797738
DGRP_208	F	0.01667873	0.015991396
DGRP_796	F	0.020789721	0.016141476
DGRP_900	M	0.018220734	0.01623299
DGRP_820	F	0.019311124	0.016252972
DGRP_306	F	0.01855499	0.016340414
DGRP_350	M	0.01917012	0.016405958
DGRP_406	F	0.01674096	0.01666511
DGRP_354	F	0.01873408	0.016683426
DGRP_105	F	0.015773041	0.016905572
DGRP_335	M	0.0177087	0.017150287
DGRP_703	M	0.017763105	0.01716881
DGRP_195	M	0.01825326	0.017271551
DGRP_820	M	0.019299086	0.017346285
DGRP_377	M	0.018917085	0.017481395
DGRP_584	M	0.019059271	0.017494073
DGRP_595	M	0.019300775	0.017588327
DGRP_362	F	0.017583999	0.017804595
DGRP_786	F	0.018789129	0.017887721
DGRP_859	F	0.020491695	0.017916158
DGRP_787	F	0.020535676	0.017958307
DGRP_350	F	0.02026866	0.018047356
DGRP_732	M	0.016771433	0.018079412
DGRP_386	F	0.01858974	0.018079953
DGRP_317	M	0.0187123	0.018103701
DGRP_406	M	0.01658767	0.018200746
DGRP_317	F	0.02132422	0.018298295
DGRP_486	F	0.020144297	0.018315697
DGRP_517	M	0.021182609	0.018326817
DGRP_843	M	0.021048688	0.018335962
DGRP_105	M	0.015468871	0.018339947
DGRP_787	M	0.016503303	0.01836107
DGRP_309	F	0.01702781	0.018390557
DGRP_304	M	0.01923304	0.018395668
DGRP_362	M	0.019228766	0.01848462
DGRP_059	F	0.021924613	0.018636317
DGRP_373	F	0.01942291	0.018663132
DGRP_256	F	0.01522535	0.018885073
DGRP_395	M	0.018976734	0.019204092
DGRP_100	F	0.018232495	0.01921974
DGRP_437	F	0.01989571	0.019245377
DGRP_850	M	0.021624079	0.019396282
DGRP_031	M	0.01965287	0.019431633
DGRP_737	M	0.018805299	0.019528451
DGRP_075	M	0.018564621	0.019572745
DGRP_032	M	0.021044304	0.019648485
DGRP_309	M	0.01782592	0.019711728
DGRP_304	F	0.01875431	0.019760547
DGRP_075	F	0.022067346	0.019831087
DGRP_377	F	0.021875752	0.019893985
DGRP_739	M	0.020473117	0.019925581
DGRP_306	M	0.02083244	0.019986961
DGRP_705	M	0.020473333	0.020193404
DGRP_802	M	0.01880512	0.020200045
DGRP_385	M	0.01939912	0.020247196
DGRP_595	F	0.018806341	0.02057907
DGRP_439	F	0.019725716	0.020659732
DGRP_365	M	0.022015028	0.020705186
DGRP_360	F	0.02195981	0.020758749
DGRP_208	M	0.01917501	0.020829242
DGRP_832	F	0.022466163	0.020876164
DGRP_879	M	0.01766871	0.020926133
DGRP_786	M	0.021380383	0.021185209
DGRP_373	M	0.0192665	0.021201833
DGRP_091	M	0.020576927	0.021292376
DGRP_032	F	0.020505565	0.021430592
DGRP_390	M	0.01745584	0.021484217
DGRP_321	M	0.0234509	0.021735043
DGRP_853	F	0.023339581	0.02180525
DGRP_437	M	0.01770601	0.022200612
DGRP_354	M	0.01979841	0.022556194
DGRP_853	M	0.019990145	0.022626579
DGRP_439	M	0.023933837	0.022730553
DGRP_705	F	0.021448979	0.022732686
DGRP_365	F	0.028210481	0.022953175
DGRP_405	M	0.01948407	0.023193804
DGRP_517	F	0.024463845	0.023545562
DGRP_359	M	0.024699743	0.023649666
DGRP_859	M	0.022471769	0.023718279
DGRP_360	M	0.02141071	0.024539944
DGRP_101	F	0.01675648	0.024706913
DGRP_796	M	0.022706158	0.025121253
DGRP_843	F	0.023252336	0.025175085
DGRP_176	M	0.027485538	0.026082913
DGRP_832	M	0.027205658	0.026116557
DGRP_136	F	0.01747733	0.026302274
DGRP_048	M	0.01445417	0.026508377
DGRP_405	F	0.022453443	0.027143463
DGRP_091	F	0.029890301	0.027458511
DGRP_359	F	0.02863632	0.028058225
DGRP_021	F	0.01782354	0.028749629
DGRP_176	F	0.031885324	0.028915665
DGRP_131	M	0.01807417	0.029236344
DGRP_153	F	0.01919625	0.029363614
DGRP_048	F	0.02093661	0.029364192
DGRP_850	F	0.033936042	0.029802427
DGRP_021	M	0.01843451	0.029895174
DGRP_026	M	0.01661247	0.029966021
DGRP_181	F	0.01773386	0.030214254
DGRP_790	F	0.036297039	0.030948004
DGRP_093	F	0.02037355	0.031323903
DGRP_790	M	0.031894487	0.03189611
DGRP_026	F	0.01991745	0.03202251
DGRP_195	F	0.019900453	0.032726966
DGRP_031	F	0.02051961	0.034059531